no2,pm2.5,o3,pm10,datetime
15.299382716049383,52.0,24.0,54.0,2023-02-19-06:00:00
15.299382716049383,54.0,23.0,56.0,2023-02-19-07:00:00
15.299382716049383,57.0,21.0,59.0,2023-02-19-08:00:00
15.299382716049383,51.0,15.0,53.0,2023-02-19-09:00:00
15.299382716049383,49.0,21.0,52.0,2023-02-19-10:00:00
15.299382716049383,45.0,24.0,49.0,2023-02-19-11:00:00
15.299382716049383,49.0,27.0,53.0,2023-02-19-12:00:00
15.299382716049383,46.0,30.0,50.0,2023-02-19-13:00:00
15.299382716049383,51.0,34.0,55.0,2023-02-19-14:00:00
15.299382716049383,50.0,48.0,54.0,2023-02-19-15:00:00
15.299382716049383,49.0,52.0,55.0,2023-02-19-16:00:00
15.299382716049383,58.0,43.0,66.0,2023-02-19-17:00:00
15.299382716049383,68.0,28.0,77.0,2023-02-19-18:00:00
30.0,61.0,37.0,67.0,2023-02-19-19:00:00
27.0,52.0,39.0,57.0,2023-02-19-20:00:00
36.0,74.0,21.0,80.0,2023-02-19-21:00:00
42.0,69.0,8.0,74.0,2023-02-19-22:00:00
35.0,75.0,12.0,80.0,2023-02-19-23:00:00
28.0,76.0,16.0,80.0,2023-02-20-00:00:00
19.0,55.0,34.0,59.0,2023-02-20-01:00:00
31.0,55.0,64.58951965065502,59.0,2023-02-20-02:00:00
24.0,45.0,31.0,48.0,2023-02-20-03:00:00
8.0,27.0,57.0,29.0,2023-02-20-04:00:00
16.0,27.0,43.0,30.0,2023-02-20-05:00:00
35.0,28.0,18.0,30.0,2023-02-20-06:00:00
43.0,33.0,2.0,35.0,2023-02-20-07:00:00
48.0,35.0,6.0,38.0,2023-02-20-08:00:00
47.0,29.0,8.0,34.0,2023-02-20-09:00:00
30.0,23.0,40.0,27.0,2023-02-20-10:00:00
18.0,23.0,58.0,28.0,2023-02-20-11:00:00
21.0,28.0,56.0,39.0,2023-02-20-12:00:00
17.0,29.0,54.0,33.0,2023-02-20-13:00:00
14.0,36.0,57.0,40.0,2023-02-20-14:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-15:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-16:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-17:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-18:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-19:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-20:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-21:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-22:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-23:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-21-00:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-21-01:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-21-02:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-21-03:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-21-04:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-21-05:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-21-06:00:00
36.0,48.0,41.0,52.0,2023-02-21-07:00:00
37.0,47.0,38.0,51.0,2023-02-21-08:00:00
39.0,49.0,35.0,55.0,2023-02-21-09:00:00
15.299382716049383,54.0,26.0,62.0,2023-02-21-10:00:00
30.0,51.0,46.0,60.0,2023-02-21-11:00:00
26.0,47.0,51.0,52.0,2023-02-21-12:00:00
23.0,48.0,60.0,54.0,2023-02-21-13:00:00
20.0,47.0,69.0,54.0,2023-02-21-14:00:00
20.0,46.0,70.0,55.0,2023-02-21-15:00:00
21.0,45.0,70.0,51.0,2023-02-21-16:00:00
23.0,45.0,64.0,52.0,2023-02-21-17:00:00
28.0,45.0,53.0,50.0,2023-02-21-18:00:00
39.0,59.0,37.0,65.0,2023-02-21-19:00:00
25.0,56.0,50.0,61.0,2023-02-21-20:00:00
45.0,49.0,27.0,53.0,2023-02-21-21:00:00
41.0,64.0,17.0,68.0,2023-02-21-22:00:00
27.0,56.0,34.0,61.0,2023-02-21-23:00:00
40.0,60.0,19.0,65.0,2023-02-22-00:00:00
42.0,56.0,15.0,61.0,2023-02-22-01:00:00
29.0,56.0,16.0,60.0,2023-02-22-02:00:00
32.0,56.0,64.58951965065502,63.0,2023-02-22-03:00:00
35.0,49.0,15.0,51.0,2023-02-22-04:00:00
26.0,41.0,18.0,42.0,2023-02-22-05:00:00
30.0,33.0,8.0,34.0,2023-02-22-06:00:00
35.0,28.0,3.0,28.0,2023-02-22-07:00:00
35.0,28.0,7.0,29.0,2023-02-22-08:00:00
28.0,27.0,14.0,29.0,2023-02-22-09:00:00
15.299382716049383,28.0,14.0,30.0,2023-02-22-10:00:00
33.0,31.0,22.0,33.0,2023-02-22-11:00:00
35.0,28.0,24.0,30.0,2023-02-22-12:00:00
33.0,28.0,31.0,30.0,2023-02-22-13:00:00
21.0,35.0,50.0,38.0,2023-02-22-14:00:00
17.0,38.0,76.0,44.0,2023-02-22-15:00:00
24.0,41.0,65.0,46.0,2023-02-22-16:00:00
26.0,43.0,64.0,49.0,2023-02-22-17:00:00
33.0,44.0,60.0,49.0,2023-02-22-18:00:00
48.0,50.0,37.0,54.0,2023-02-22-19:00:00
71.0,55.0,13.0,61.0,2023-02-22-20:00:00
66.0,61.0,19.0,69.0,2023-02-22-21:00:00
28.0,69.0,54.0,76.0,2023-02-22-22:00:00
17.0,71.0,65.0,78.0,2023-02-22-23:00:00
38.0,65.0,22.0,71.0,2023-02-23-00:00:00
31.0,72.0,29.0,78.0,2023-02-23-01:00:00
34.0,70.0,20.0,74.0,2023-02-23-02:00:00
33.0,67.0,22.0,74.0,2023-02-23-03:00:00
36.0,65.0,64.58951965065502,69.0,2023-02-23-04:00:00
36.0,68.0,13.0,73.0,2023-02-23-05:00:00
50.0,68.0,6.0,73.0,2023-02-23-06:00:00
53.0,67.0,11.0,72.0,2023-02-23-07:00:00
54.0,66.0,11.0,71.0,2023-02-23-08:00:00
54.0,65.0,6.0,78.0,2023-02-23-09:00:00
60.0,74.0,6.0,85.0,2023-02-23-10:00:00
15.299382716049383,65.0,9.0,76.0,2023-02-23-11:00:00
62.0,62.0,13.0,70.0,2023-02-23-12:00:00
50.0,51.0,31.0,59.0,2023-02-23-13:00:00
48.0,39.0,35.0,46.0,2023-02-23-14:00:00
64.0,56.0,13.0,62.0,2023-02-23-15:00:00
35.0,40.0,44.0,43.0,2023-02-23-16:00:00
41.0,37.0,28.0,40.0,2023-02-23-17:00:00
31.0,40.0,36.0,43.0,2023-02-23-18:00:00
28.0,36.0,38.0,41.0,2023-02-23-19:00:00
28.0,28.0,36.0,33.0,2023-02-23-20:00:00
27.0,33.0,32.0,36.0,2023-02-23-21:00:00
23.0,31.0,36.0,34.0,2023-02-23-22:00:00
13.0,28.0,46.0,31.0,2023-02-23-23:00:00
13.0,30.0,41.0,33.0,2023-02-24-00:00:00
20.0,29.0,25.0,32.0,2023-02-24-01:00:00
25.0,34.0,11.0,36.0,2023-02-24-02:00:00
17.0,35.0,22.0,37.0,2023-02-24-03:00:00
11.0,29.0,64.58951965065502,31.0,2023-02-24-04:00:00
10.0,31.0,49.0,33.0,2023-02-24-05:00:00
12.0,37.0,55.0,39.0,2023-02-24-06:00:00
30.0,27.0,26.0,30.0,2023-02-24-07:00:00
27.0,27.0,32.0,30.0,2023-02-24-08:00:00
29.0,26.0,36.0,30.0,2023-02-24-09:00:00
53.0,33.0,15.0,37.0,2023-02-24-10:00:00
15.299382716049383,32.0,15.0,37.0,2023-02-24-11:00:00
38.0,29.0,19.0,33.0,2023-02-24-12:00:00
32.0,46.0,27.0,53.0,2023-02-24-13:00:00
32.0,32.0,24.0,43.0,2023-02-24-14:00:00
22.0,35.0,35.0,46.0,2023-02-24-15:00:00
32.0,39.0,24.0,45.0,2023-02-24-16:00:00
26.0,39.0,31.0,45.0,2023-02-24-17:00:00
22.0,39.0,36.0,45.0,2023-02-24-18:00:00
30.0,35.0,33.0,40.0,2023-02-24-19:00:00
40.0,47.0,15.0,55.0,2023-02-24-20:00:00
18.0,41.0,54.0,46.0,2023-02-24-21:00:00
4.0,21.0,87.0,29.0,2023-02-24-22:00:00
4.0,21.0,82.0,29.0,2023-02-24-23:00:00
4.0,20.0,79.0,29.0,2023-02-25-00:00:00
3.0,19.0,75.0,30.0,2023-02-25-01:00:00
5.0,19.0,72.0,32.0,2023-02-25-02:00:00
4.0,20.0,75.0,32.0,2023-02-25-03:00:00
4.0,22.0,73.0,33.0,2023-02-25-04:00:00
