no2,pm2.5,o3,pm10,leto_od,mesec_od,dan_od,ura_od,min_od,leto_do,mesec_do,dan_do,ura_do,min_do
33.69138245176386,81.0,31.08938869046382,85.0,2023.0,2.0,16.0,0.0,0.0,2023.0,2.0,16.0,1.0,0.0
33.69138245176386,81.0,31.08938869046382,85.0,2023.0,2.0,16.0,0.0,0.0,2023.0,2.0,16.0,1.0,0.0
33.69138245176386,81.0,31.08938869046382,85.0,2023.0,2.0,16.0,0.0,0.0,2023.0,2.0,16.0,1.0,0.0
33.69138245176386,81.0,31.08938869046382,85.0,2023.0,2.0,16.0,0.0,0.0,2023.0,2.0,16.0,1.0,0.0
33.69138245176386,81.0,31.08938869046382,85.0,2023.0,2.0,16.0,0.0,0.0,2023.0,2.0,16.0,1.0,0.0
33.69138245176386,81.0,31.08938869046382,85.0,2023.0,2.0,16.0,0.0,0.0,2023.0,2.0,16.0,1.0,0.0
33.69138245176386,81.0,31.08938869046382,85.0,2023.0,2.0,16.0,0.0,0.0,2023.0,2.0,16.0,1.0,0.0
33.69138245176386,81.0,31.08938869046382,85.0,2023.0,2.0,16.0,0.0,0.0,2023.0,2.0,16.0,1.0,0.0
33.69138245176386,81.0,31.08938869046382,85.0,2023.0,2.0,16.0,0.0,0.0,2023.0,2.0,16.0,1.0,0.0
33.69138245176386,81.0,31.08938869046382,85.0,2023.0,2.0,16.0,0.0,0.0,2023.0,2.0,16.0,1.0,0.0
33.69138245176386,81.0,31.08938869046382,85.0,2023.0,2.0,16.0,0.0,0.0,2023.0,2.0,16.0,1.0,0.0
23.822781015760853,59.0,43.0,63.0,2023.0,2.0,16.0,1.0,0.0,2023.0,2.0,16.0,2.0,0.0
23.822781015760853,59.0,43.0,63.0,2023.0,2.0,16.0,1.0,0.0,2023.0,2.0,16.0,2.0,0.0
23.822781015760853,59.0,43.0,63.0,2023.0,2.0,16.0,1.0,0.0,2023.0,2.0,16.0,2.0,0.0
23.822781015760853,59.0,43.0,63.0,2023.0,2.0,16.0,1.0,0.0,2023.0,2.0,16.0,2.0,0.0
23.822781015760853,59.0,43.0,63.0,2023.0,2.0,16.0,1.0,0.0,2023.0,2.0,16.0,2.0,0.0
23.822781015760853,59.0,43.0,63.0,2023.0,2.0,16.0,1.0,0.0,2023.0,2.0,16.0,2.0,0.0
23.822781015760853,59.0,43.0,63.0,2023.0,2.0,16.0,1.0,0.0,2023.0,2.0,16.0,2.0,0.0
23.822781015760853,59.0,43.0,63.0,2023.0,2.0,16.0,1.0,0.0,2023.0,2.0,16.0,2.0,0.0
23.822781015760853,59.0,43.0,63.0,2023.0,2.0,16.0,1.0,0.0,2023.0,2.0,16.0,2.0,0.0
23.822781015760853,59.0,43.0,63.0,2023.0,2.0,16.0,1.0,0.0,2023.0,2.0,16.0,2.0,0.0
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
