datetime,temps,no2,pm2.5,o3,pm10
2023-03-22-18:00:00,15.4,44.0,48.0,79.0,56.0
2023-03-22-19:00:00,13.7,49.0,48.0,76.0,55.0
2023-03-22-20:00:00,11.7,25.0,48.0,99.0,53.0
2023-03-22-21:00:00,11.1,24.0,40.0,102.0,45.0
2023-03-22-22:00:00,10.7,18.0,41.0,105.0,46.0
2023-03-22-23:00:00,10.3,11.0,37.0,112.0,41.0
2023-03-23-00:00:00,9.8,16.01155327342747,29.0,100.0,32.0
2023-03-23-01:00:00,8.8,12.0,30.0,92.0,34.0
2023-03-23-02:00:00,8.3,7.0,25.0,100.0,28.0
2023-03-23-03:00:00,8.3,8.0,19.0,99.0,21.0
2023-03-23-04:00:00,7.9,6.0,19.0,111.0,22.0
2023-03-23-05:00:00,8.3,12.0,20.0,90.0,22.0
2023-03-23-06:00:00,7.8,17.0,13.0,93.0,15.0
2023-03-23-07:00:00,8.3,69.0,16.0,25.0,22.0
2023-03-23-08:00:00,11.4,61.0,18.0,30.0,26.0
2023-03-23-09:00:00,13.0,25.0,22.0,71.0,27.0
2023-03-23-10:00:00,13.6,22.0,20.0,78.0,25.0
2023-03-23-11:00:00,14.7,15.0,18.0,106.0,23.0
2023-03-23-12:00:00,16.1,18.0,19.0,96.0,25.0
2023-03-23-13:00:00,15.6,9.0,15.0,122.0,18.0
2023-03-23-14:00:00,15.7,11.0,11.0,115.0,14.0
2023-03-23-15:00:00,16.6,13.0,12.0,116.0,16.0
2023-03-23-16:00:00,16.6,21.0,15.0,111.0,19.0
2023-03-23-17:00:00,17.1,27.0,13.0,67.01221001221002,19.0
2023-03-23-18:00:00,15.1,41.0,11.0,82.0,14.0
2023-03-23-19:00:00,13.5,61.0,17.0,54.0,22.0
2023-03-23-20:00:00,11.9,51.0,21.0,53.0,26.0
2023-03-23-21:00:00,10.4,55.0,21.0,52.0,28.0
2023-03-23-22:00:00,10.4,54.0,22.0,50.0,28.0
2023-03-23-23:00:00,9.3,34.0,30.0,71.0,34.0
2023-03-24-00:00:00,9.3,35.0,31.0,61.0,34.0
2023-03-24-01:00:00,8.8,16.01155327342747,28.0,69.0,30.0
2023-03-24-02:00:00,8.3,23.0,22.0,72.0,25.0
2023-03-24-03:00:00,7.8,18.0,22.0,68.0,25.0
2023-03-24-04:00:00,7.3,23.0,21.0,78.0,24.0
2023-03-24-05:00:00,7.7,30.0,19.0,68.0,21.0
2023-03-24-06:00:00,7.8,37.0,17.0,71.0,20.0
2023-03-24-07:00:00,8.3,55.0,15.0,49.0,20.0
2023-03-24-08:00:00,11.0,42.0,15.0,61.0,20.0
2023-03-24-09:00:00,14.0,29.0,16.0,75.0,21.0
2023-03-24-10:00:00,15.5,28.0,13.0,85.0,16.0
2023-03-24-11:00:00,15.5,13.0,15.0,89.0,18.0
2023-03-24-12:00:00,15.6,12.0,22.0,92.0,27.0
2023-03-24-13:00:00,16.0,6.0,18.0,109.0,24.0
2023-03-24-14:00:00,15.0,6.0,23.0,110.0,29.0
2023-03-24-15:00:00,16.4,7.0,13.0,101.0,17.0
2023-03-24-16:00:00,15.9,8.0,10.0,103.0,13.0
2023-03-24-17:00:00,17.6,18.0,30.0,94.0,35.0
2023-03-24-18:00:00,14.9,16.0,20.0,67.01221001221002,25.0
2023-03-24-19:00:00,14.0,15.0,15.0,92.0,18.0
2023-03-24-20:00:00,13.0,19.0,25.0,87.0,29.0
2023-03-24-21:00:00,13.0,34.0,26.0,70.0,30.0
2023-03-24-22:00:00,13.8,35.0,22.0,60.0,27.0
2023-03-24-23:00:00,14.4,5.0,9.0,103.0,12.0
2023-03-25-00:00:00,14.8,3.0,7.0,108.0,10.0
2023-03-25-01:00:00,14.8,16.01155327342747,8.0,102.0,11.0
2023-03-25-02:00:00,14.3,3.0,8.0,96.0,10.0
2023-03-25-03:00:00,14.3,3.0,8.0,90.0,10.0
2023-03-25-04:00:00,14.4,4.0,9.0,84.0,12.0
2023-03-25-05:00:00,14.4,8.0,15.0,71.0,20.0
2023-03-25-06:00:00,13.9,7.0,18.0,66.0,23.0
2023-03-25-07:00:00,13.4,7.0,14.0,66.0,20.0
2023-03-25-08:00:00,13.9,6.0,10.0,73.0,15.0
2023-03-25-09:00:00,13.9,5.0,8.0,82.0,11.0
2023-03-25-10:00:00,14.9,4.0,8.0,85.0,10.0
2023-03-25-11:00:00,16.4,4.0,8.0,95.0,10.0
2023-03-25-12:00:00,15.9,4.0,7.0,97.0,11.0
2023-03-25-13:00:00,16.7,14.0,6.0,82.0,14.0
2023-03-25-14:00:00,13.0,14.0,20.324418604651164,81.0,6.0
2023-03-25-15:00:00,14.0,7.0,4.0,85.0,6.0
2023-03-25-16:00:00,14.9,10.0,4.0,77.0,6.0
2023-03-25-17:00:00,13.0,17.0,3.0,70.0,8.0
2023-03-25-18:00:00,13.4,10.0,5.0,67.01221001221002,7.0
2023-03-25-19:00:00,11.9,21.0,6.0,60.0,8.0
2023-03-25-20:00:00,11.3,14.0,6.0,67.0,8.0
2023-03-25-21:00:00,10.4,8.0,5.0,76.0,6.0
2023-03-25-22:00:00,9.3,9.0,3.0,76.0,5.0
2023-03-25-23:00:00,9.3,7.0,4.0,80.0,5.0
